,precision,recall,f1-score,support
0,0.9916576290981897,0.9905833333333334,0.9911201901029725,12000.0
1,0.9858979158866842,0.9875,0.9866983076250546,8000.0
accuracy,0.98935,0.98935,0.98935,0.98935
macro avg,0.9887777724924369,0.9890416666666667,0.9889092488640135,20000.0
weighted avg,0.9893537438135874,0.98935,0.9893514371118054,20000.0
